"SE","casos"
201001,20
201002,24
201003,23
201004,34
201005,38
201006,33
201007,47
201008,50
201009,57
201010,45
201011,47
201012,70
201013,45
201014,41
201015,50
201016,57
201017,83
201018,94
201019,61
201020,71
201021,62
201022,57
201023,32
201024,62
201025,41
201026,51
201027,64
201028,54
201029,49
201030,88
201031,84
201032,73
201033,49
201034,53
201035,35
201036,35
201037,45
201038,31
201039,26
201040,27
201041,29
201042,28
201043,34
201044,44
201045,50
201046,54
201047,75
201048,102
201049,112
201050,143
201051,120
201052,139
201101,205
201102,269
201103,269
201104,461
201105,740
201106,1112
201107,1432
201108,1521
201109,1393
201110,1509
201111,2520
201112,3912
201113,4299
201114,5172
201115,4405
201116,3679
201117,3978
201118,3200
201119,2831
201120,2263
201121,1644
201122,1460
201123,919
201124,687
201125,430
201126,357
201127,254
201128,213
201129,162
201130,144
201131,111
201132,120
201133,124
201134,92
201135,82
201136,108
201137,98
201138,162
201139,175
201140,173
201141,194
201142,179
201143,232
201144,218
201145,304
201146,252
201147,401
201148,418
201149,502
201150,581
201151,512
201152,535
201201,861
201202,978
201203,1280
201204,1459
201205,1685
201206,2025
201207,2480
201208,2963
201209,4235
201210,4967
201211,4859
201212,5808
201213,6129
201214,6243
201215,7525
201216,8644
201217,8301
201218,6974
201219,6396
201220,5683
201221,5010
201222,4038
201223,3041
201224,2448
201225,1709
201226,1226
201227,924
201228,604
201229,450
201230,333
201231,469
201232,403
201233,424
201234,341
201235,231
201236,167
201237,194
201238,181
201239,144
201240,155
201241,138
201242,170
201243,169
201244,155
201245,159
201246,129
201247,146
201248,191
201249,185
201250,198
201251,169
201252,167
201301,412
201302,706
201303,727
201304,910
201305,1087
201306,1030
201307,1353
201308,2501
201309,2979
201310,3073
201311,4107
201312,4090
201313,3895
201314,5116
201315,5115
201316,4240
201317,2989
201318,2847
201319,1935
201320,1274
201321,963
201322,571
201323,468
201324,383
201325,294
201326,235
201327,186
201328,137
201329,124
201330,62
201331,79
201332,58
201333,43
201334,53
201335,35
201336,46
201337,54
201338,39
201339,63
201340,46
201341,44
201342,47
201343,58
201344,54
201345,38
201346,42
201347,65
201348,88
201349,92
201350,62
201351,25
201352,3
201401,17
201402,87
201403,114
201404,101
201405,74
201406,90
201407,95
201408,77
201409,70
201410,44
201411,64
201412,94
201413,60
201414,66
201415,71
201416,42
201417,53
201418,57
201419,79
201420,62
201421,74
201422,37
201423,40
201424,41
201425,40
201426,48
201427,38
201428,28
201429,36
201430,19
201431,29
201432,44
201433,28
201434,26
201435,32
201436,36
201437,32
201438,32
201439,39
201440,38
201441,36
201442,34
201443,16
